UKPRN,NAME
10006963,Tower Hamlets College
10007011,Northampton College
10007035,Tresham Institute
10007063,Truro and Penwith College
10007114,University of the Highlands and Islands
10007137,The University of Chichester
10007138,The University of Northampton
10007139,University of Worcester
10007140,Birmingham City University
10007141,The University of Central Lancashire
10007143,University of Durham
10007144,The University of East London
10007145,University of Gloucestershire
10007146,The University of Greenwich
10007147,University of Hertfordshire
10007148,The University of Huddersfield
10007149,The University of Hull
10007150,The University of Kent
10007151,The University of Lincoln
10007152,University of Bedfordshire
10007154,University of Nottingham
10007155,The University of Portsmouth
10007156,The University of Salford
10007157,The University of Sheffield
10007158,The University of Southampton
10007159,The University of Sunderland
10007160,The University of Surrey
10007161,Teesside University
10007162,"University of the Arts, London"
10007163,The University of Warwick
10007164,"University of the West of England, Bristol"
10007165,The University of Westminster
10007166,The University of Wolverhampton
10007167,The University of York
10007193,Uxbridge College
10007289,Wakefield College
10007291,Wakefield City Council
10007299,Walford and North Shropshire College
10007315,Walsall College
10007321,Waltham Forest College
10007339,Warrington Collegiate
10007361,Waverley Training and Events
10007405,YMCA Training
10007407,West Cheshire College
10007417,West Herts College
10007419,Hadlow College
10007427,West Nottinghamshire College
10007431,West Suffolk College
10007434,West Thames College
10007455,Westminster Kingsway College
10007459,Weston College
10007469,Weymouth College
10007500,Wigan and Leigh College
10007527,Wiltshire College
10007543,Wine and Spirit Education Trust
10007553,Wirral Metropolitan College
10007578,City of Wolverhampton College
10007621,North East Worcestershire College
10007636,The Working Men's College
10007657,Writtle College
10007671,Wyggeston and Queen Elizabeth I College
10007682,Xaverian College
10007696,Yeovil College
10007700,YYMCA George Williams College
10007701,YMCA Wales Community College Limited
10007709,York College
10007713,York St John University
10007759,Aston University
10007760,Birkbeck College
10007761,Courtauld Institute of Art
10007762,Glasgow Caledonian University
10007764,Heriot-Watt University
10007765,Heythrop College
10007766,Institute of Education
10007767,The University of Keele
10007768,The University of Lancaster
10007772,Edinburgh Napier University
10007773,The Open University
10007774,The University of Oxford
10007775,Queen Mary University of London
10007776,Roehampton University
10007778,Royal College of Music
10007779,The Royal Veterinary College
10007780,The School of Oriental and African Studies
10007782,St George's Hospital Medical School
10007783,The University of Aberdeen
10007784,University College London
10007785,The University of Bradford
10007786,The University of Bristol
10007787,The University of Buckingham
10007788,The University of Cambridge
10007789,The University of East Anglia
10007790,The University of Edinburgh
10007791,The University of Essex
10007792,The University of Exeter
10007793,University of South Wales
10007794,The University of Glasgow
10007795,The University of Leeds
10007796,The University of Leicester
10007797,University of London
10007798,The University of Manchester
10007799,University of Newcastle-upon-Tyne
10007800,The University of the West of Scotland
10007801,University of Plymouth
10007802,The University of Reading
10007803,The University of St Andrews
10007804,The University of Stirling
10007805,The University of Strathclyde
10007806,The University of Sussex
10007807,University of Ulster
10007811,Bishop Grosseteste University
10007812,University of London Institute in Paris
10007814,Cardiff University
10007816,Central School of Speech and Drama
10007817,Chichester College
10007820,Llandrillo Menai
10007823,Edge Hill University
10007825,Guildhall School of Music and Drama
10007832,Newman University
10007833,Glynd_r University
10007834,Pembrokeshire College
10007835,Royal Academy of Music
10007837,Royal Northern College of Music
10007838,Royal Welsh College of Music and Drama
10007842,University of Cumbria
10007843,"St Mary's University, Twickenham"
10007848,University of Chester
10007849,University of Abertay Dundee
10007850,The University of Bath
10007851,University of Derby
10007852,The University of Dundee
10007854,Cardiff Metropolitan University
10007855,Swansea University
10007856,Aberystwyth University
10007857,Bangor University
10007858,University of Wales Trinity Saint David
10007859,Warwickshire College
10007916,College of West Anglia
10007924,Dudley College of Technology
10007928,Fareham College
10007937,GSM London
10007938,Grimsby Institute of Further and Higher Education
10007945,Highbury College of Technology
10007949,Huntingdonshire Regional College
10007977,North East Worcestershire College
10008010,Stranmillis University College
10008017,Trinity Laban Conservatoire of Music and Dance
10008026,St Mary's University College
10008110,Blake Hall College Limited
10008119,Bridgend College
10008211,East London College Limited
10008229,Ethames Graduate School Limited
10008289,IFS University College
10008298,James Watt College of Further and Higher Education
10008362,London School of Science and Technology Limited
10008397,Norland College
10008430,Platform One (IOW)
10008569,Tyne Metropolitan College
10008589,West of England Ministerial Training Course
10008634,"Coleg Sir Gar, Carmarthenshire College"
10008640,Falmouth University
10008653,London School of Commerce
10008911,Coleg Ceredigion
10008912,Coleg Gwent
10008914,Coleg Morgannwg
10008958,NIPPA
10009063,Building Crafts College
10009099,The Urdang Academy
10009193,Clydebank College
10009238,Fife College
10009251,Motherwell College
10009295,West Lothian College
10009433,South Birmingham Primary Care Trust
10009439,Stanmore College
10009477,KYRA Education and Training
10009614,Neath Port Talbot College
10009619,Merthyr Tydfil College
10009628,Coleg Powys
10009843,International Correspondence Schools Limited
10009925,St John's College Nottingham
10009947,Montessori Centre International
10010093,Circomedia
10010172,Hawkwood College
10010565,London Academy of Management Sciences
10010606,Edinburgh's Telford College
10010610,Irish Baptist College
10010720,Brighton Institute of Modern Music
10011082,Guildhall College Limited
10012516,"The Learning Institute, Callington"
10012766,Kent Police College
10012984,Fire Service College
10013192,Glasgow Metropolitan College
10013357,The Academy for Contemporary Music Limited
10013987,Mary Hare School
10014001,University Campus Suffolk
10014199,Veolia Environnement Development Centre
10015623,Whitefields School and Centre
10018361,City of London College
10020416,Mattersey Hall
10020502,Somerset SCITT Consortium
10020634,North West Regional College
10020676,Into Newcastle University LLP
10020680,Belfast Metropolitan College
10020685,South West College
10020699,South Eastern Regional College
10020858,Confetti Institute of Creative Technologies
10020883,Eastwood Park Limited
10021029,School of Technology and Management
10021682,Kaplan Open Learning
10022061,Skills Solution Limited
10022087,Futureworks
10023139,"Manchester College,"
10023230,Benenden Hospital
10023442,The College of Osteopaths
10023445,International College of Oriental Medicine
10023454,Moorlands College
10023457,The Scottish Police College
10023526,South Staffordshire College
10023571,SB Training
10024766,Wales Evangelical School of Theology
10024962,Leeds City College
10025471,Into University of East Anglia
10026751,Cambridge School of Visual and Performing Arts
10026852,London School of Management & Science
10028607,KLM UK Engineering
10030342,Black Country Partnership NHS Foundation Trust
10030408,Gower College Swansea
10030776,St Mellitus College
10030943,Lindisfarne Regional Training Partnership
10030973,Westminster Theological Centre
10031982,BPP University
10032094,Franciscan International Study Centre
10032284,Respiratory Education
10032299,Tech Music Schools
10033438,Royal Navy
10033440,British Army
10034200,Pen Green Children and Families and Research Centre
10034324,Court Theatre Training Company
10034450,Cardiff and Vale College
10034753,Tor Bridge High
10035638,Institute of Contemporary Music Performance
10036143,South Gloucestershire and Stroud College
10036456,Backstage Academy
10037344,Easton and Otley College
10037449,University of St Mark and St John
10037922,Royal School of Church Music
10037968,Kent Association for the Blind
10038501,The NDA Foundation
10038990,"St John's College, Durham"
10039956,The University of Law
10040812,Harper Adams University
10041282,Beauchamp College
10041295,Coleg Cambria
10041563,Shockout Arts
10042093,Matrix Training Consultancy
10042194,Holborn College Limited
10043164,UCFB College of Football Business
10044301,Edge Hotel School
10046069,EMU Education
99999997,Medway School of Pharmacy
99999998,Hull York Medical School
99999999,Brighton and Sussex Medical School
